大学名,学部,学科
秋田県立,生物資源,生物環境科学－後
秋田県立,生物資源,アグリビジネ－後
秋田公立美術,美術,美術－前
秋田公立美術,美術,美術－中
国際教養,国際教養,国際教養Ａ日程
国際教養,国際教養,国際教養Ｂ日程
国際教養,国際教養,国際教養Ｃ日程
東北農林専門職,農林業経営,農業経営－前
東北農林専門職,農林業経営,森林業経営－前
山形,人文社会,人間文化－前
山形,人文社会,グローバル－前
山形,人文社会,総・地・経－前
山形,人文社会,人間文化－後
山形,人文社会,総・地・経－後
山形,理,理－前
山形,理,理－後
山形,工,高分子・有機－前
山形,工,化－応用化学－前
山形,工,化－バイオ工－前
山形,工,情－情報知能－前
山形,工,情－電気電子－前
山形,工,機械システム－前
山形,工,建築デザイン－前
山形,工,高分子・有機－後
山形,工,化－応用化学－後
山形,工,化－バイオ工－後
山形,工,情－情報知能－後
山形,工,情－電気電子－後
山形,工,機械システム－後
山形,工,建築デザイン－後
山形,農,食料生命環境－前
山形,農,食料生命環境－後
山形,医,医（一般枠）－前
山形,医,医（地域枠）－前
山形,医,看護－前
山形,医,看護－後
山形,社会共創,前期
山形,社会共創,後期
山形,工－フレ,システム創成－前
山形,工－フレ,システム創成－後
山形,教育,小学校教員－前
山形,教育,中学校教員－前
山形,教育,理数系教員－前
山形,教育,心理支援系教－前
山形県立保健医療,保健医療,看護－前
山形県立保健医療,保健医療,理学療法－前
山形県立保健医療,保健医療,作業療法－前
山形県立米沢栄養,健康栄養,健康栄養－前
山形県立米沢栄養,健康栄養,健康栄養－後
会津,コンピ理工,コンピュタＡ－前
会津,コンピ理工,コンピュタＢ－前
福島,人文社会,教育実践－前
福島,人文社会,心理幼児小論－前
福島,人文社会,心理幼児検査－前
福島,人文社会,特別支援－前
福島,人文社会,芸術（音楽）－前
福島,人文社会,芸術（美術）－前
福島,人文社会,人文（国語）－前
福島,人文社会,人文（英語）－前
福島,人文社会,人文（小論）－前
福島,人文社会,数理自然科学－前
福島,人文社会,スポーツ健康－前
福島,人文社会,行政政策－前
福島,人文社会,経済経営－前
福島,人文社会,Ａ系－後
福島,人文社会,Ｂ系－後
福島,人文社会,行政政策－後
福島,人文社会,経済経営－後
福島,理工,共生システム－前
福島,理工,共生システム－後
福島,農,食農－前
福島,農,食農－後
福島県立医科,医,医（一般枠）－前
福島県立医科,医,医（地域枠）－前
福島県立医科,保健科学,理学療法－前
福島県立医科,保健科学,作業療法－前
福島県立医科,保健科学,診療放射線科－前
福島県立医科,保健科学,臨床検査－前
福島県立医科,看護,看護－前
福島県立医科,看護,看護－後
茨城,人文社会,現代社会－前
茨城,人文社会,法律経済－前
茨城,人文社会,人間文化－前
茨城,人文社会,現代社会－後
茨城,人文社会,法律経済－後
茨城,人文社会,人間文化－後
茨城,地域未来,数学選択－前
茨城,地域未来,英語選択－前
茨城,教育,学－教育実践－前
茨城,教育,学－国語－前
茨城,教育,学－社会－前
茨城,教育,学－英語－前
茨城,教育,学－数学－前
茨城,教育,学－理科－前
茨城,教育,学－音楽－前
茨城,教育,学－美術－前
茨城,教育,学－保健体育－前
茨城,教育,学－技術－前
茨城,教育,学－家庭－前
茨城,教育,学－特別支援－前
茨城,教育,養護教諭養成－前
茨城,教育,学－国語－後
茨城,教育,学－社会－後
茨城,教育,学－数学－後
茨城,教育,学－音楽－後
茨城,教育,学－美術－後
茨城,教育,学－保健体育－後
茨城,教育,学－家庭－後
茨城,教育,養護教諭養成－後
茨城,理,数学情報－前
茨城,理,物理学－前
茨城,理,化学－前
茨城,理,生物科学－前
茨城,理,地球環境－前
茨城,理,総合理学－前
茨城,理,数学情報－後
茨城,理,物理学－後
茨城,理,化学－後
茨城,理,生物科学－後
茨城,理,地球環境－後
茨城,理,総合理学－後
茨城,工,機械システム－前
茨城,工,電気電子シス－前
茨城,工,物質科学工－前
茨城,工,情報工－前
茨城,工,都市システム－前
茨城,工,機械システム－後
茨城,工,電気電子シス－後
茨城,工,物質科学工－後
茨城,工,情報工－後
茨城,工,都市システム－後
茨城,農,食生命科学－前
茨城,農,地－応用植物－前
茨城,農,地－地域共生－前
茨城,農,食生命科学－後
茨城,農,地－応用植物－後
茨城,農,地－地域共生－後
茨城県立医療,保健医療,看護－前
茨城県立医療,保健医療,理学療法－前
茨城県立医療,保健医療,作業療法－前
茨城県立医療,保健医療,放射線技術－前
筑波,総合選抜,文系－前
筑波,総合選抜,理系Ⅰ－前
筑波,総合選抜,理系Ⅱ－前
筑波,総合選抜,理系Ⅲ－前
筑波,人文・文化,人文－前
筑波,人文・文化,比較文化－前
筑波,人文・文化,人文－後
筑波,社会・国際,社会－前
筑波,社会・国際,国際総合－前
筑波,理工,数学－前
筑波,理工,物理－前
筑波,理工,化学－前
筑波,理工,応用理工－前
筑波,理工,工学システム－前
筑波,理工,社会工－前
筑波,理工,物理－後
筑波,理工,化学－後
筑波,理工,応用理工－後
筑波,理工,工学システム－後
筑波,理工,社会工－後
筑波,生命環境,生物－前
筑波,生命環境,生物資源－前
筑波,生命環境,地球－前
筑波,生命環境,生物－後
筑波,生命環境,生物資源－後
筑波,生命環境,地球－後
筑波,医,医一般枠－前
筑波,医,医地域枠全国－前
筑波,医,医地域枠茨城－前
筑波,医,看護－前
筑波,医,医療科学－前
筑波,芸術,前期
筑波,芸術,後期
筑波,体育,前期
筑波,人間,教育－前
筑波,人間,心理－前
筑波,人間,障害科学－前
筑波,人間,教育－後
筑波,人間,心理－後
筑波,人間,障害科学－後
筑波,情報,情報科学－前
筑波,情報,情報メディア－前
筑波,情報,知識情報図書－後
筑波,人文・文化,日本語日本文－前
筑波技術,共生社会,共生（視覚）－前
筑波技術,共生社会,共生（聴覚）－前
筑波技術,産業技術,総合デザイン－前
筑波技術,保健科学,情報システム－前
筑波技術,保健科学,保健－前
筑波技術,産業技術,産業情報－前
宇都宮,地域デザ,コミュニティ－前
宇都宮,地域デザ,建築都市デザ－前
宇都宮,地域デザ,社会基盤デザ－前
宇都宮,地域デザ,コミュニティ－後
宇都宮,地域デザ,建築都市デザ－後
宇都宮,地域デザ,社会基盤デザ－後
宇都宮,国際,国際－前
宇都宮,データサイ,データサイエ－前
宇都宮,データサイ,データサイエ－後
宇都宮,共同教育,教育人間科学－前
宇都宮,共同教育,人文社会系－前
宇都宮,共同教育,自然科学系－前
宇都宮,共同教育,芸－音楽－前
宇都宮,共同教育,芸－美術－前
宇都宮,共同教育,芸－保健体育－前
宇都宮,共同教育,芸－家政－前
宇都宮,工,化学系－前
宇都宮,工,機械・情報系－前
宇都宮,工,基盤工－後
宇都宮,農,フロンティア－前
宇都宮,農,生物生産イノ－前
宇都宮,農,環境システム－前
宇都宮,農,エコロジカル－前
宇都宮,農,フロンティア－後
宇都宮,農,生物生産イノ－後
宇都宮,農,環境システム－後
宇都宮,農,エコロジカル－後
群馬,共同教育,学－国語－前
群馬,共同教育,学－社会－前
群馬,共同教育,学－英語－前
群馬,共同教育,学－数学－前
群馬,共同教育,学－理科－前
群馬,共同教育,学－技術－前
群馬,共同教育,学－音楽－前
群馬,共同教育,学－美術－前
群馬,共同教育,学－家政－前
群馬,共同教育,学－保健体育－前
群馬,共同教育,学－教育－前
群馬,共同教育,学－教育心理－前
群馬,共同教育,学－特別支援－前
群馬,理工,物質・環境－前
群馬,理工,電子・機械－前
群馬,理工,物質・環境－後
群馬,理工,電子・機械－後
群馬,医,医（一般枠）－前
群馬,医,医（地域枠）－前
群馬,医,保－看護学－前
群馬,医,保－検査技術－前
群馬,医,保－理学療法－前
群馬,医,保－作業療法－前
群馬,医,保－看護学－後
群馬,医,保－検査技術－後
群馬,医,保－理学療法－後
群馬,医,保－作業療法－後
群馬,情報,情報－前
群馬,情報,情報（小論）－後
群馬,情報,情報（共テ）－後
群馬県立県民健康科学,診療放射線,診療放射線－前
群馬県立県民健康科学,看護,看護－前
群馬県立女子,文,国文－前
群馬県立女子,文,英米文化－前
群馬県立女子,文,美学美術史－前
群馬県立女子,文,文化情報－前
群馬県立女子,文,国文－後
群馬県立女子,文,英米文化－後
群馬県立女子,文,美学美術史－後
群馬県立女子,文,文化情報－後
群馬県立女子,国際コミュ,前期
群馬県立女子,国際コミュ,後期
高崎経済,地域政策,５教科５科目－前
高崎経済,地域政策,３教科３科目－前
高崎経済,地域政策,５教科５科目－後
高崎経済,地域政策,３教科３科目－後
高崎経済,経済,前期
高崎経済,経済,中期
前橋工科,工,建－土木環境－前
前橋工科,工,建－建築都市－前
前橋工科,工,建－工学デザ－前
前橋工科,工,情－情報シス－前
前橋工科,工,情－医工学－前
前橋工科,工,情－生物応用－前
前橋工科,工,情－生物応用－中
前橋工科,工,情－医工学－中
前橋工科,工,情－情報シス－中
前橋工科,工,建－工学デザ－中
前橋工科,工,建－建築都市－中
前橋工科,工,建－土木環境－中
埼玉,教養,教養－前
埼玉,教養,教養－後
埼玉,経済,経済（一般）－前
埼玉,経済,経済（国際）－前
埼玉,経済,経済－後
埼玉,教育,養護教諭養成－前
埼玉,理,数学－前
埼玉,理,物理－前
埼玉,理,基礎化学－前
埼玉,理,分子生物－前
埼玉,理,生体制御－前
埼玉,理,数学－後
埼玉,理,物理－後
埼玉,理,基礎化学－後
埼玉,理,分子生物－後
埼玉,理,生体制御－後
埼玉,工,機械工学シス－前
埼玉,工,電気電子物理－前
埼玉,工,情報工－前
埼玉,工,応用化学－前
埼玉,工,環境社会デザ－前
埼玉,工,機械工学シス－後
埼玉,工,電気電子物理－後
埼玉,工,情報工－後
埼玉,工,応用化学－後
埼玉,工,環境社会デザ－後
埼玉,教育,学－教育学－前
埼玉,教育,学－臨床教育－前
埼玉,教育,学－心理発達－前
埼玉,教育,学－乳幼児－前
埼玉,教育,学－乳幼児－後
埼玉,教育,学－特別支援－前
埼玉,教育,教－国語－前
埼玉,教育,教－社会－前
埼玉,教育,教－算数数学－前
埼玉,教育,教－理科－前
埼玉,教育,教－音楽－前
埼玉,教育,教－音楽－後
埼玉,教育,教－図工美術－前
埼玉,教育,教－図工美術－後
埼玉,教育,教－技術情報－前
埼玉,教育,教－技術情報－後
埼玉,教育,教－家庭科－前
埼玉,教育,教－家庭科－後
埼玉,教育,教－保健体育－前
埼玉,教育,教－英語－前
埼玉県立,保健医療,看護－前
埼玉県立,保健医療,理学療法－前
埼玉県立,保健医療,作業療法－前
埼玉県立,保健医療,社－社会福祉－前
埼玉県立,保健医療,社－子ども学－前
埼玉県立,保健医療,健－健康情報－前
埼玉県立,保健医療,健－検査技術－前
埼玉県立,保健医療,健－口腔保健－前
千葉,文,行動科学－前
千葉,文,歴史学－前
千葉,文,日本ユーラシ－前
千葉,文,国際言語文化－前
千葉,文,行動科学－後
千葉,文,歴史学－後
千葉,国際教養,国際教養－前
千葉,法政経,法政経－前
千葉,法政経,法政経－後
千葉,教育,小学校－前
千葉,教育,中学－国語科－前
千葉,教育,中学－社会科－前
千葉,教育,中学－数学科－前
千葉,教育,中学－理科－前
千葉,教育,中学－技術科－前
千葉,教育,小中－音楽科－前
千葉,教育,小中－図工科－前
千葉,教育,小中－保体科－前
千葉,教育,小中－家庭科－前
千葉,教育,英語教育－前
千葉,教育,特別支援教育－前
千葉,教育,乳幼児教育－前
千葉,教育,養護教諭－前
千葉,理,数学情報数理－前
千葉,理,物理－前
千葉,理,化学－前
千葉,理,生物－前
千葉,理,地球科学－前
千葉,理,数学情報数理－後
千葉,理,物理－後
千葉,理,化学－後
千葉,理,生物－後
千葉,理,地球科学－後
千葉,工,建築学－前
千葉,工,都市工学－前
千葉,工,デザイン－前
千葉,工,機械工学－前
千葉,工,医工学－前
千葉,工,電気電子工学－前
千葉,工,物質科学－前
千葉,工,共生応用化学－前
千葉,工,建築学－後
千葉,工,都市工学－後
千葉,工,機械工学－後
千葉,工,医工学－後
千葉,工,電気電子工学－後
千葉,工,共生応用化学－後
千葉,情報データ,情報・データ－前
千葉,園芸,園芸－前
千葉,園芸,応用生命化学－前
千葉,園芸,緑地環境－前
千葉,園芸,食料資源経済－前
千葉,園芸,園芸－後
千葉,園芸,応用生命化学－後
千葉,園芸,緑地環境－後
千葉,園芸,食料資源経済－後
千葉,医,医（一般枠）－前
千葉,医,医（地域枠）－前
千葉,医,医（一般枠）－後
千葉,薬,前期
千葉,薬,薬科学－後
千葉,看護,看護－前
千葉県立保健医療,健康科学,看護－前
千葉県立保健医療,健康科学,栄養－前
千葉県立保健医療,健康科学,歯科衛生－前
千葉県立保健医療,健康科学,リ－理学療法－前
千葉県立保健医療,健康科学,リ－作業療法－前
お茶の水女子,文教育,人文科学－前
お茶の水女子,文教育,言語文化－前
お茶の水女子,文教育,人間社会科学－前
お茶の水女子,文教育,人－教育子ど－前
お茶の水女子,文教育,舞踊教育学－前
お茶の水女子,文教育,音楽表現－前
お茶の水女子,文教育,人文科学－後
お茶の水女子,文教育,人間社会科学－後
お茶の水女子,文教育,人－教育子ど－後
お茶の水女子,文教育,音楽表現－後
お茶の水女子,理,数学－前
お茶の水女子,理,物理－前
お茶の水女子,理,化学－前
お茶の水女子,理,生物－前
お茶の水女子,理,情報科学－前
お茶の水女子,理,数学－後
お茶の水女子,理,物理－後
お茶の水女子,理,化学－後
お茶の水女子,理,生物－後
お茶の水女子,理,情報科学－後
お茶の水女子,生活科学,食物栄養－前
お茶の水女子,生活科学,人間生活－前
お茶の水女子,生活科学,心理－前
お茶の水女子,生活科学,食物栄養－後
お茶の水女子,共創工,人間環境工－前
お茶の水女子,共創工,文化情報工－前
お茶の水女子,共創工,人間環境工－後
電気通信,情報理工,Ⅰ類情報系－前
電気通信,情報理工,Ⅱ類融合系－前
電気通信,情報理工,Ⅲ類理工系－前
電気通信,情報理工,Ⅰ類情報系－後
電気通信,情報理工,Ⅱ類融合系－後
電気通信,情報理工,Ⅲ類理工系－後
東京,文科一類,前期
東京,文科二類,前期
東京,文科三類,前期
東京,理科一類,前期
東京,理科二類,前期
東京,理科三類,前期
東京海洋,海洋生命,海洋生物資源－前
東京海洋,海洋生命,食品生産科学－前
東京海洋,海洋生命,海洋政策文化－前
東京海洋,海洋生命,海洋生物資源－後
東京海洋,海洋生命,食品生産科学－後
東京海洋,海洋生命,海洋政策文化－後
東京海洋,海洋工,海事システム－前
東京海洋,海洋工,海洋電子機械－前
東京海洋,海洋工,流通情報工－前
